経過時間_秒, Green, SinWave
7.640, 1.38, 1.66
7.671, 1.59, 2.88
7.715, 1.61, 5.01
7.748, 1.55, 6.65
7.771, 1.49, 7.70
7.814, 1.41, 9.03
7.840, 1.28, 9.48
7.873, 1.14, 9.84
7.914, 1.00, 9.94
7.940, 0.88, 9.79
7.980, 0.80, 9.26
8.008, 0.77, 8.69
8.040, 0.73, 7.88
8.078, 0.43, 6.73
8.109, 0.49, 5.71
8.139, 1.14, 4.70
8.180, 2.51, 3.36
8.206, 4.49, 2.59
8.240, 6.58, 1.65
8.273, 7.58, 0.78
8.313, 8.55, 0.44
8.347, 9.40, 0.82
8.382, 9.69, 1.80
8.409, 9.61, 2.88
8.439, 9.37, 4.30
8.473, 9.15, 5.54
8.514, 8.97, 7.80
8.538, 8.83, 8.71
8.573, 8.66, 9.35
8.606, 8.39, 9.74
8.649, 8.02, 9.95
8.675, 7.51, 9.90
8.713, 6.87, 9.58
8.740, 5.83, 9.19
8.780, 4.18, 8.39
8.815, 1.50, 7.51
8.847, 1.24, 6.61
8.880, 1.14, 5.61
8.914, 1.14, 4.56
8.947, 1.15, 3.57
8.980, 1.15, 2.66
9.018, 0.86, 1.68
9.045, 0.52, 0.82
9.075, 0.78, 0.44
9.107, 1.94, 0.74
9.148, 4.16, 2.11
9.173, 5.74, 3.36
9.214, 6.60, 5.72
9.248, 7.43, 7.60
9.274, 8.33, 8.67
9.307, 9.13, 9.28
9.343, 9.66, 9.74
9.381, 9.91, 9.94
9.407, 9.97, 9.92
9.448, 9.95, 9.61
9.475, 9.89, 9.24
9.515, 9.81, 7.82
9.550, 9.68, 6.75
9.581, 9.48, 5.72
9.608, 9.19, 4.80
9.648, 8.79, 3.43
9.678, 8.25, 2.56
9.717, 7.47, 1.45
9.747, 6.26, 0.73
9.783, 4.26, 0.44
9.814, 1.61, 0.72
9.847, 1.37, 1.53
9.883, 1.19, 2.89
9.916, 1.16, 4.43
9.950, 1.13, 6.11
9.982, 0.69, 7.59
10.016, 0.39, 8.78
10.048, 0.50, 9.40
10.075, 1.09, 9.75
10.114, 2.08, 9.95
10.148, 3.35, 9.83
10.187, 4.73, 9.34
10.214, 6.09, 8.82
10.248, 7.25, 7.96
10.284, 8.14, 6.88
10.323, 8.71, 5.58
10.354, 8.10, 4.52
10.384, 7.15, 3.53
10.415, 6.22, 1.73
10.449, 5.30, 0.88
10.480, 4.44, 0.48
10.521, 3.59, 0.58
10.548, 2.76, 1.02
10.581, 1.90, 1.92
10.616, 1.26, 3.21
10.652, 1.12, 4.77
10.681, 1.03, 6.07
10.715, 0.92, 7.50
10.753, 0.87, 8.77
10.780, 0.76, 9.34
10.815, 0.72, 9.82
10.848, 0.65, 9.95
10.885, 0.52, 9.74
10.916, 0.29, 9.27
10.950, 0.33, 8.49
10.983, 0.78, 7.51
11.019, 1.74, 6.27
11.048, 3.16, 5.21
11.083, 4.92, 3.94
11.116, 6.77, 2.82
11.150, 8.52, 1.82
11.184, 9.48, 0.94
11.215, 9.11, 0.51
11.251, 8.31, 0.50
11.284, 7.39, 8.52
11.315, 6.50, 9.49
11.349, 5.74, 9.38
11.382, 5.03, 9.07
11.417, 4.33, 8.55
11.447, 3.51, 7.96
11.482, 2.59, 7.14
11.520, 1.63, 6.13
11.550, 1.39, 5.28
11.581, 1.25, 4.38
11.617, 1.11, 3.37
11.650, 0.91, 2.50
11.683, 0.83, 1.74
11.719, 0.76, 0.94
11.751, 0.76, 0.47
11.784, 0.69, 0.27
11.819, 0.45, 0.40
11.852, 0.69, 0.83
11.882, 1.69, 1.45
11.917, 3.63, 2.42
11.951, 5.87, 3.55
11.998, 6.68, 5.23
12.038, 7.60, 6.64
12.055, 8.59, 7.19
12.083, 9.45, 8.01
12.117, 9.82, 8.68
12.154, 9.84, 9.18
12.188, 9.74, 9.44
12.218, 9.65, 9.49
12.252, 9.62, 4.03
12.284, 9.64, 8.37
12.320, 9.61, 7.52
12.355, 9.50, 6.58
12.388, 9.25, 5.62
12.417, 8.85, 4.77
12.452, 8.28, 3.76
12.487, 7.38, 2.81
12.517, 5.93, 2.09
12.551, 3.48, 1.27
12.586, 1.65, 0.66
12.619, 1.47, 0.44
12.653, 1.31, 0.62
12.684, 1.07, 1.11
12.718, 0.96, 1.97
12.757, 0.97, 3.28
12.784, 0.65, 4.32
12.820, 0.46, 5.76
12.858, 0.77, 7.22
12.891, 1.71, 8.31
12.916, 3.18, 8.85
12.952, 5.13, 9.41
12.988, 7.17, 9.75
13.022, 8.16, 9.85
13.054, 9.21, 9.75
13.092, 9.68, 9.40
13.121, 9.61, 8.97
13.156, 9.23, 8.28
13.192, 8.74, 14.49
13.224, 8.28, 9.67
13.254, 7.87, 9.57
13.292, 7.53, 9.24
13.324, 7.22, 8.80
13.352, 6.88, 8.31
13.389, 6.50, 7.53
13.420, 6.03, 6.78
13.452, 5.12, 5.95
13.490, 3.49, 4.93
13.520, 1.38, 4.13
13.553, 1.26, 3.28
13.592, 1.23, 2.36
13.632, 1.05, 1.51
13.657, 1.04, 1.04
13.686, 1.07, 0.64
13.731, 1.13, 0.45
13.755, 1.12, 0.54
13.791, 1.10, 0.93
13.832, 0.98, 4.46
13.852, 0.54, 3.40
13.887, 0.48, 4.63
13.922, 0.92, 5.92
13.955, 1.91, 7.09
13.987, 3.37, 8.09
14.026, 5.12, 8.84
14.057, 6.97, 9.23
14.090, 8.62, 9.51
14.119, 9.51, 9.65
14.149, 9.22, 9.68
14.187, 8.52, 9.54
14.220, 7.67, 9.28
14.257, 6.80, 8.82
14.290, 6.00, 8.29
14.323, 5.24, 7.67
14.357, 4.52, 6.94
14.398, 3.79, 5.99
14.421, 3.01, 5.44
14.464, 2.17, 4.42
14.498, 1.40, 3.64
14.524, 1.43, 3.08
14.557, 1.28, 2.44
14.591, 1.20, 1.71
14.625, 1.05, 1.17
14.658, 0.94, 0.97
14.691, 0.81, 1.11
14.723, 0.65, 1.56
14.765, 0.60, 2.56
14.793, 0.60, 3.43
14.825, 0.62, 4.55
14.864, 0.63, 5.99
14.890, 0.58, 6.92
14.924, 0.37, 8.01
14.960, 0.20, 8.70
14.994, 0.19, 9.08
15.043, 0.36, 9.48
15.058, 0.65, 9.56
15.088, 0.96, 9.66
15.120, 1.19, 9.68
15.164, 1.17, 9.55
15.200, 1.31, 9.32
15.223, 1.34, 9.11
15.259, 1.14, 8.71
15.299, 0.89, 8.15
15.323, 0.95, 7.77
15.360, 0.78, 7.12
15.399, 0.78, 6.39
15.420, 0.89, 5.98
15.466, 1.26, 5.06
15.498, 1.41, 4.43
15.524, 1.31, 3.93
15.577, 1.12, 2.98
15.592, 1.07, -3.21
15.635, 1.09, 0.19
15.665, 1.01, 0.20
15.692, 0.86, 0.25
15.733, 0.68, 0.36
15.758, 0.76, 0.46
15.791, 0.75, 0.61
15.832, 0.68, 0.81
15.859, 0.37, 0.94
15.893, 0.29, 1.10
15.934, 0.56, 1.25
15.960, 1.32, 1.30
15.998, 2.40, 1.35
16.033, 3.63, 1.39
16.064, 4.91, 1.41
16.091, 6.01, 1.43
16.133, 6.84, 1.43
16.163, 7.11, 1.42
16.191, 6.73, 1.40
16.232, 5.76, 1.35
16.259, 4.46, 1.32
16.297, 3.23, 1.26
16.331, 2.05, 1.20
16.366, 1.81, 1.13
16.395, 1.60, 1.06
16.424, 1.53, 0.99
16.459, 1.32, 0.90
16.499, 0.97, 0.80
16.531, 0.84, 0.72
