経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, Stiffness, E, SBP, DBP
0.007, 4.5676, 64.2398, -0.7543, -0.5657, 7.8995, 3.6962, 127.46, 98.20
4.722, 4.6788, 81.6327, -0.6600, -0.6129, 9.4626, 4.3746, 127.00, 99.62
7.327, 3.2478, 54.3971, -0.6679, -0.3143, 7.3134, 4.0581, 127.96, 98.24
12.636, 1.3914, 61.9195, -0.5132, -0.5132, 1.4079, 1.1936, 129.15, 98.83
14.310, 4.9216, 78.0234, -0.5602, -0.5615, 11.2734, 5.0816, 127.22, 98.35
15.947, 4.6569, 82.3045, -0.6735, -0.5837, 8.5996, 3.9850, 127.43, 97.81
19.356, 5.0031, 71.3436, -0.6000, -0.3857, 9.2635, 4.1415, 127.21, 97.72
20.988, 4.3317, 78.4314, -0.6407, -0.4267, 7.3143, 3.5143, 128.02, 97.61
22.493, 4.4176, 78.4314, -0.6008, -0.3433, 7.3892, 3.5156, 128.37, 97.30
23.264, 4.2868, 74.2574, -0.7031, -0.3281, 7.8823, 3.8070, 128.67, 97.27
24.065, 3.9449, 86.9565, -0.6412, -0.3420, 6.4771, 3.2611, 128.56, 97.00
24.837, 4.0622, 77.4194, -0.5775, -0.3713, 7.4276, 3.6852, 128.41, 97.26
25.677, 4.4929, 74.6269, -0.6839, -0.3847, 8.3655, 3.9467, 128.27, 97.65
29.778, 2.3853, 66.4452, -0.4702, -0.3143, 3.5445, 2.2950, 129.25, 99.21
31.484, 4.4825, 78.0234, -0.8592, -0.3872, 8.3939, 3.9646, 127.39, 97.67
32.591, 3.2295, 71.1744, -0.2366, -0.6308, 5.0879, 2.8312, 128.99, 100.59
34.290, 2.9650, 95.0872, -0.6318, -0.6804, 5.7832, 3.3586, 130.42, 97.20
35.793, 2.9070, 81.9672, -0.6726, -0.7622, 4.6754, 2.7422, 128.07, 100.17
52.188, 4.8445, 68.7285, -0.9296, -0.4131, 9.2650, 4.2094, 126.15, 97.97
53.065, 4.8361, 66.5927, -0.6254, -0.3311, 8.9798, 4.0834, 126.08, 97.79
53.930, 4.5228, 66.5188, -0.6397, -0.3387, 8.3188, 3.9116, 127.93, 97.38
55.503, 4.7884, 69.5249, -0.5729, -0.3438, 8.7951, 4.0193, 128.06, 97.64
56.306, 3.9191, 77.3196, -0.6188, -0.3713, 6.2990, 3.1818, 128.79, 97.37
57.914, 4.2513, 75.3769, -0.6986, -0.3288, 7.3853, 3.5818, 128.18, 97.61
58.775, 4.4002, 76.9231, -0.6631, -0.3121, 8.1864, 3.9027, 127.67, 97.26
