経過時間_秒, Green, SinWave
0.020, 9.02, 6.70
0.088, 8.26, 3.67
0.113, 7.25, 2.56
0.151, 6.21, 1.64
0.193, 5.38, 1.15
0.214, 4.94, 1.10
0.245, 4.78, 1.27
0.272, 5.01, 1.66
0.315, 5.77, 2.66
0.349, 6.64, 3.72
0.380, 8.03, 4.81
0.414, 9.15, 6.06
0.442, 9.73, 7.06
0.483, 9.69, 8.36
0.517, 9.43, 9.39
0.546, 8.94, 6.95
0.585, 8.30, 8.56
0.615, 7.41, 9.04
0.649, 6.18, 9.58
0.682, 4.77, 9.87
0.715, 3.07, 9.84
0.746, 2.45, 9.54
0.781, 1.87, 8.91
0.819, 0.95, 7.99
0.842, 0.68, 7.37
0.881, 1.15, 6.33
0.914, 2.41, 5.58
0.953, 4.17, 5.10
0.981, 6.23, 4.89
1.013, 7.59, 4.78
1.043, 8.49, 4.83
1.083, 9.22, 5.09
1.110, 9.70, 5.38
1.150, 9.86, 5.97
1.180, 9.75, 6.50
1.228, 9.38, 7.43
1.245, 8.84, 6.05
1.284, 8.07, 0.68
1.315, 7.09, 0.70
1.341, 5.99, 1.09
1.378, 4.77, 2.17
1.417, 3.67, 3.81
1.448, 2.65, 5.30
1.481, 1.65, 6.88
1.514, 1.06, 8.27
1.549, 2.42, 9.54
1.583, 4.47, 9.93
1.616, 6.56, 9.34
1.649, 7.64, 7.92
1.684, 8.51, 5.84
1.715, 9.30, 3.86
1.751, 9.75, 1.94
1.792, 9.84, 0.89
1.816, 9.63, 0.65
1.848, 9.24, 0.77
1.884, 8.59, 1.58
1.915, 7.78, 2.66
1.952, 6.75, 4.29
1.985, 5.53, 5.88
2.018, 4.25, 7.39
2.049, 2.96, 8.60
2.085, 2.03, 9.77
2.114, 0.87, 9.89
2.152, 0.85, 8.92
2.183, 1.96, 7.35
2.216, 3.63, 5.27
2.252, 5.58, 3.01
2.281, 7.40, 1.68
2.324, 8.71, 0.76
2.354, 9.44, 0.64
2.384, 9.82, 0.96
2.420, 9.83, 1.89
2.452, 9.59, 3.12
2.488, 9.19, 4.77
2.521, 8.56, 11.69
2.552, 7.80, 9.03
2.582, 6.87, 7.93
2.620, 5.75, 6.12
2.646, 4.73, 4.76
2.685, 3.84, 2.87
2.715, 3.28, 1.84
2.750, 2.78, 1.16
2.791, 2.15, 0.84
2.817, 3.24, 0.92
2.850, 5.28, 1.33
2.884, 6.85, 2.08
2.917, 7.96, 3.06
2.950, 8.61, 4.23
2.988, 9.42, 5.67
3.017, 9.72, 6.75
3.048, 9.75, 7.81
3.090, 9.37, 9.12
3.117, 8.91, 9.68
3.152, 8.29, 9.83
3.185, 7.47, 9.12
3.217, 6.54, 8.14
3.251, 5.44, 6.76
3.281, 4.34, 5.44
3.316, 3.27, 3.98
3.356, 2.07, 2.85
3.388, 1.12, 2.37
3.419, 1.25, 2.15
3.452, 2.67, 2.21
3.484, 4.70, 2.55
3.520, 6.74, 3.23
3.558, 7.48, 4.23
3.587, 8.51, 5.11
3.616, 9.40, 6.05
3.654, 9.75, 7.26
3.690, 9.79, 8.27
3.718, 9.85, 9.02
3.751, 9.88, 9.64
3.792, 9.75, 9.65
3.827, 9.39, 8.99
3.854, 8.74, 7.45
3.892, 7.93, 5.61
3.922, 6.90, 4.10
3.953, 5.81, 2.72
3.988, 4.88, 1.76
4.017, 3.77, 1.30
4.054, 2.33, 1.10
4.093, 2.08, 1.38
4.119, 3.91, 1.83
4.157, 6.15, 2.82
4.193, 7.22, 4.03
4.222, 8.25, 5.12
4.256, 9.28, 6.41
4.290, 9.74, 7.62
4.325, 9.81, 8.71
4.355, 9.56, 9.53
4.388, 9.23, 9.88
4.421, 8.73, 9.02
4.456, 7.96, 8.76
4.487, 6.97, 9.63
4.523, 5.65, 9.87
4.555, 4.11, 9.36
4.591, 2.49, 8.07
4.620, 1.65, 6.68
4.655, 0.97, 4.88
4.689, 1.04, 3.35
4.720, 2.03, 2.75
4.769, 3.78, 2.21
4.792, 5.84, 2.09
4.826, 7.32, 2.09
4.864, 8.54, 2.33
4.889, 9.30, 2.62
4.923, 9.68, 3.17
4.954, 9.63, 3.80
4.987, 9.36, 4.57
5.024, 8.81, 8.21
5.056, 8.10, 7.03
5.092, 7.23, 5.01
5.126, 6.14, 3.16
5.153, 4.95, 2.04
5.191, 3.65, 1.22
5.230, 2.36, 0.94
5.256, 1.41, 1.09
5.292, 0.74, 1.73
5.321, 0.57, 2.56
5.353, 0.95, 3.72
5.390, 1.91, 5.24
5.424, 3.36, 6.65
5.466, 4.88, 8.18
5.489, 6.40, 8.98
5.523, 7.56, 9.66
5.555, 8.70, 9.53
5.590, 9.54, 8.56
5.620, 9.78, 7.19
5.659, 9.58, 5.01
5.687, 9.08, 3.47
5.736, 8.31, 2.90
5.763, 7.28, 2.65
5.791, 6.01, 1.59
5.822, 4.56, 0.95
5.857, 2.99, 0.59
5.891, 2.18, 0.63
5.927, 1.60, 1.09
5.954, 0.76, 1.69
5.991, 0.50, 2.80
6.021, 0.92, 3.88
6.065, 1.95, 5.60
6.093, 3.39, 6.68
6.122, 4.92, 7.70
6.154, 6.22, 8.76
6.199, 7.14, 9.79
6.233, 7.56, 9.50
6.259, 7.76, 8.68
6.291, 7.98, 7.12
6.322, 8.09, 5.27
6.354, 7.92, 3.36
6.400, 7.00, 1.46
6.434, 5.94, 9.30
6.455, 4.75, 8.06
6.489, 3.40, 7.33
6.525, 2.35, 6.16
6.566, 1.80, 4.53
6.593, 0.96, 3.43
6.633, 0.37, 1.97
6.660, 0.40, 1.32
6.694, 1.00, 0.81
6.733, 2.10, 0.52
6.777, 3.40, 0.61
6.798, 4.58, 0.80
6.825, 5.49, 1.17
6.858, 6.08, 1.82
6.898, 6.26, 2.82
6.931, 6.25, 3.75
