経過時間_秒, Green, SinWave
7.645, 9.85, 7.28
7.683, 9.86, 5.68
7.705, 9.72, 4.71
7.737, 9.49, 3.35
7.781, 9.17, 8.76
7.813, 8.77, 8.82
7.839, 8.31, 8.15
7.874, 7.86, 7.06
7.903, 7.24, 6.06
7.938, 6.33, 4.78
7.967, 4.91, 3.75
8.002, 2.74, 2.60
8.049, 0.71, 1.40
8.081, 1.03, 0.86
8.116, 2.37, 0.54
8.140, 4.54, 0.50
8.174, 6.00, 0.67
8.205, 6.88, 1.07
8.239, 7.84, 1.74
8.271, 8.81, 2.56
8.307, 9.45, 3.65
8.346, 9.76, 4.95
8.380, 9.87, 6.10
8.408, 9.82, 7.01
8.441, 9.62, 7.98
8.477, 9.30, 8.74
8.503, 8.87, 7.97
8.541, 8.35, 8.84
8.572, 7.76, 9.49
8.614, 7.08, 9.88
8.644, 6.36, 9.80
8.675, 5.37, 9.39
8.708, 3.93, 8.63
8.741, 1.54, 7.61
8.774, 1.29, 6.40
8.809, 0.65, 5.01
8.847, 0.59, 3.55
8.874, 1.24, 2.61
8.905, 2.70, 1.80
8.947, 4.80, 1.15
8.981, 6.29, 0.83
9.006, 7.05, 0.71
9.047, 7.97, 0.76
9.076, 8.75, 0.96
9.113, 9.20, 1.42
9.138, 9.51, 1.85
9.177, 9.78, 2.67
9.214, 9.87, 3.60
9.247, 9.78, 4.49
9.282, 9.56, 5.48
9.316, 9.24, 5.47
9.348, 8.84, 3.02
9.382, 8.39, 1.77
9.413, 7.87, 1.11
9.439, 7.32, 0.74
9.482, 6.48, 0.56
9.514, 5.27, 0.77
9.538, 3.47, 1.11
9.591, 1.44, 2.38
9.614, 0.75, 3.09
9.639, 0.60, 3.95
9.684, 1.16, 5.60
9.714, 2.55, 6.69
9.741, 4.58, 7.59
9.782, 6.25, 8.82
9.816, 7.08, 9.62
9.849, 8.01, 9.87
9.881, 8.78, 9.60
9.909, 9.27, 8.95
9.941, 9.56, 7.83
9.981, 9.80, 6.04
10.014, 9.84, 4.45
10.047, 9.70, 2.94
10.084, 9.41, 1.65
10.115, 8.99, 9.97
10.141, 8.49, 9.82
10.178, 7.92, 9.43
10.213, 7.31, 8.69
10.250, 6.68, 7.57
10.288, 5.79, 6.19
10.316, 4.45, 5.09
10.349, 2.45, 3.82
10.381, 0.75, 2.68
10.414, 0.48, 1.75
10.447, 0.86, 1.16
10.482, 1.93, 0.74
10.514, 3.58, 0.58
10.551, 5.66, 0.66
10.583, 7.05, 0.95
10.612, 8.11, 1.39
10.640, 8.96, 1.95
10.682, 9.45, 3.00
10.716, 9.79, 3.98
