経過時間_秒, Green, SinWave
7.612, 9.25, 9.89
7.647, 8.80, 9.96
7.681, 8.19, 9.19
7.715, 7.42, 8.05
7.755, 6.50, 6.16
7.781, 5.43, 4.79
7.808, 4.32, 3.40
7.845, 2.32, 1.83
7.881, 1.21, 1.19
7.912, 0.56, 0.80
7.939, 0.44, 0.60
7.973, 0.90, 0.53
8.008, 1.73, 0.69
8.049, 2.91, 1.16
8.081, 4.20, 1.71
8.122, 5.36, 2.62
8.144, 6.35, 3.19
8.189, 7.20, 4.45
8.212, 7.79, 5.12
8.238, 8.23, 5.88
8.281, 8.78, 7.08
8.322, 8.92, 8.09
8.339, 8.04, 8.51
8.388, 6.86, 9.66
8.412, 5.46, 8.58
8.445, 3.90, 7.09
8.481, 2.41, 5.64
8.521, 1.99, 3.88
8.547, 1.61, 2.80
8.582, 1.47, 1.60
8.612, 1.25, 1.04
8.646, 0.65, 0.61
8.680, 0.48, 0.44
8.713, 0.82, 0.51
8.756, 1.70, 0.97
8.788, 3.07, 1.54
8.818, 4.71, 2.24
8.855, 6.37, 3.25
8.882, 8.08, 4.06
8.914, 9.03, 5.05
8.949, 9.33, 6.11
8.989, 9.65, 7.20
9.014, 9.85, 7.81
9.047, 9.83, 8.60
9.089, 9.67, 8.94
9.115, 9.35, 5.74
9.146, 8.85, 9.85
9.182, 8.16, 9.41
9.216, 7.27, 8.43
9.255, 6.30, 6.78
9.277, 5.26, 5.70
9.315, 3.66, 3.81
9.350, 1.79, 2.26
9.379, 1.04, 1.48
9.413, 0.55, 0.92
9.449, 0.65, 0.57
9.482, 1.37, 0.48
9.522, 2.66, 0.67
9.546, 4.41, 0.94
9.586, 6.31, 1.62
9.614, 7.77, 2.25
9.651, 8.60, 3.23
9.680, 9.00, 4.09
9.726, 9.36, 5.51
9.758, 9.66, 6.49
9.778, 9.57, 7.08
9.816, 9.03, 8.09
9.847, 7.94, 10.62
9.879, 6.38, 7.28
9.916, 4.46, 5.41
9.950, 2.99, 3.63
9.994, 2.33, 1.77
10.022, 1.88, 1.21
10.056, 1.54, 0.75
10.082, 1.28, 0.57
10.118, 1.09, 0.58
10.148, 0.84, 0.83
10.186, 0.42, 1.43
10.215, 0.26, 2.08
10.250, 0.43, 3.03
10.282, 0.92, 4.02
10.317, 1.64, 5.17
10.346, 2.49, 6.11
10.382, 3.34, 7.23
10.424, 4.22, 8.34
10.454, 5.09, 9.24
10.481, 6.04, 9.63
10.512, 7.22, 9.52
10.547, 8.76, 8.72
10.581, 9.41, 7.38
10.615, 8.93, 5.68
10.652, 8.27, 3.74
10.684, 7.54, 6.96
10.726, 6.70, 3.46
10.760, 5.77, 2.01
10.791, 4.80, 1.17
10.815, 3.62, 0.75
10.849, 1.92, 0.36
10.887, 1.47, 0.25
10.915, 0.70, 0.39
10.951, 0.36, 0.84
10.983, 0.53, 1.47
11.029, 1.25, 2.68
11.057, 2.35, 3.54
11.083, 3.73, 4.39
11.117, 5.10, 5.51
11.151, 6.36, 6.60
11.182, 7.60, 7.50
11.216, 8.37, 8.43
11.260, 9.05, 9.32
11.283, 9.41, 9.41
11.327, 8.68, 8.84
11.355, 7.62, 8.03
11.390, 6.26, 3.36
11.418, 4.74, 8.55
