経過時間_秒, Green, SinWave
7.606, 8.48, 9.71
7.634, 7.97, 9.77
7.668, 7.37, 9.59
7.702, 6.68, 9.13
7.743, 5.96, 8.27
7.773, 5.22, 7.46
7.799, 4.10, 6.67
7.838, 2.34, 5.38
7.873, 1.30, 4.21
7.900, 1.21, 3.35
7.938, 1.12, 2.26
7.971, 0.82, 1.46
8.002, 0.43, 0.90
8.041, 0.45, 0.55
8.074, 0.97, 0.59
8.107, 2.02, 0.92
8.140, 3.53, 1.53
8.169, 5.27, 2.26
8.201, 6.94, 3.24
8.232, 8.41, 4.29
8.267, 9.46, 5.55
8.304, 9.02, 6.84
8.337, 8.15, 7.87
8.372, 7.08, 10.52
8.414, 5.98, 7.56
8.441, 4.97, 6.53
8.468, 4.07, 5.40
8.514, 3.25, 3.44
8.536, 2.43, 2.58
8.570, 1.63, 1.54
8.607, 1.05, 0.88
8.635, 0.94, 0.57
8.669, 0.86, 0.43
8.704, 0.83, 0.56
8.737, 0.77, 0.94
8.772, 0.83, 1.59
8.808, 0.57, 2.48
8.841, 0.37, 3.43
8.866, 0.57, 4.22
8.905, 1.36, 5.49
8.938, 2.87, 6.53
8.974, 5.13, 7.57
9.004, 7.04, 8.34
9.037, 8.11, 9.11
9.066, 9.12, 9.46
9.102, 9.72, 9.42
9.135, 9.88, 8.92
9.175, 9.81, 7.81
9.204, 9.65, 6.73
9.245, 9.48, 6.68
9.270, 9.27, 8.62
9.310, 8.97, 7.54
9.341, 8.54, 6.56
9.371, 7.96, 5.54
9.406, 7.27, 4.33
9.438, 6.50, 3.26
9.474, 5.48, 2.19
9.499, 3.88, 1.53
9.539, 1.53, 0.69
9.574, 1.45, 0.37
9.604, 1.33, 0.43
9.647, 0.81, 1.03
9.673, 0.49, 1.67
9.714, 0.75, 3.00
9.743, 1.75, 4.10
9.780, 3.38, 5.59
9.802, 5.50, 6.46
9.846, 7.22, 8.04
9.874, 8.34, 8.80
9.907, 9.35, 9.42
9.947, 9.75, 9.83
9.975, 9.67, 9.88
10.003, 9.32, 9.74
10.048, 8.89, 9.26
10.073, 8.40, 9.70
10.106, 7.89, 9.84
10.137, 7.29, 9.76
10.175, 6.58, 9.41
10.207, 5.78, 8.89
10.242, 4.88, 8.13
10.273, 4.01, 7.32
10.310, 2.71, 6.24
10.341, 1.18, 5.28
10.373, 1.05, 4.28
10.414, 0.93, 3.07
10.447, 0.78, 2.20
10.474, 0.76, 1.56
10.508, 0.39, 0.91
10.541, 0.42, 0.55
10.573, 1.08, 0.50
10.611, 2.62, 0.82
