経過時間_秒, Green, SinWave
7.622, 6.97, 2.85
7.657, 8.47, 3.96
7.686, 9.42, 4.94
7.718, 9.86, 6.03
7.749, 9.89, 7.04
7.786, 9.69, 8.12
7.820, 9.32, 8.96
7.851, 8.78, 9.41
7.892, 8.11, 9.41
7.918, 7.29, 8.89
7.955, 6.37, 7.89
7.988, 5.39, 6.80
8.025, 4.38, 5.45
8.055, 3.42, 4.33
8.091, 1.77, 3.05
8.117, 1.29, 2.22
8.151, 1.24, 1.33
8.186, 1.17, 0.69
8.228, 0.82, 0.37
8.253, 0.45, 0.43
8.286, 0.59, 0.78
8.326, 1.31, 1.59
8.359, 2.60, 2.52
8.385, 4.39, 3.39
8.418, 6.53, 4.59
8.455, 7.75, 5.97
8.489, 8.77, 7.18
8.521, 9.55, 8.19
8.556, 9.82, 9.07
8.604, 9.73, 9.78
8.624, 9.43, 9.88
8.656, 8.99, 9.78
8.689, 8.42, 9.45
8.722, 7.77, 8.85
8.753, 7.04, 8.06
8.786, 6.26, 7.03
8.818, 5.42, 5.91
8.854, 4.56, 4.60
8.894, 3.45, 3.19
8.925, 1.50, 2.23
8.956, 1.24, 1.43
8.986, 1.15, 0.86
9.021, 1.11, 0.50
9.057, 0.78, 0.49
9.090, 0.45, 0.81
9.122, 0.55, 1.40
9.154, 1.16, 2.22
9.192, 2.28, 3.43
9.218, 3.84, 4.36
9.258, 5.75, 5.83
9.288, 7.76, 6.89
9.324, 8.76, 8.04
9.354, 9.35, 8.81
9.388, 9.75, 9.44
9.423, 9.87, 9.78
9.455, 9.79, 9.78
9.488, 9.50, 9.48
9.529, 9.09, 8.17
9.561, 8.53, 8.13
9.590, 7.90, 7.24
9.621, 7.22, 6.17
9.665, 6.49, 4.56
9.700, 5.78, 3.32
9.722, 4.83, 2.61
9.757, 3.31, 1.63
9.785, 1.34, 1.04
9.825, 1.15, 0.54
9.856, 0.62, 0.45
9.890, 0.46, 0.68
9.921, 0.88, 1.16
9.958, 1.97, 2.03
9.993, 3.62, 3.10
10.021, 5.64, 4.07
10.053, 7.10, 5.24
10.087, 8.10, 6.48
10.121, 9.07, 7.62
10.168, 9.65, 8.90
10.193, 9.88, 9.38
10.223, 9.83, 9.75
10.261, 9.61, 9.86
10.291, 9.23, 9.34
10.324, 8.76, 9.41
10.355, 8.20, 9.76
10.392, 7.59, 9.88
10.424, 6.92, 9.72
10.460, 6.18, 9.24
10.493, 5.42, 8.57
10.523, 4.22, 7.79
10.558, 2.27, 6.73
10.592, 1.46, 5.60
10.625, 1.33, 4.48
10.657, 1.04, 3.43
10.693, 0.56, 2.37
10.723, 0.56, 1.62
10.759, 1.22, 0.94
10.801, 2.54, 0.51
10.821, 4.44, 0.45
10.862, 6.53, 0.63
10.895, 7.38, 1.07
10.934, 8.35, 1.87
10.966, 9.27, 2.73
10.992, 9.76, 3.52
11.024, 9.92, 4.58
11.067, 9.85, 6.03
11.090, 9.64, 6.78
11.135, 9.29, 8.81
11.159, 8.86, 7.49
11.191, 8.37, 6.28
11.225, 7.85, 4.90
11.258, 7.27, 3.59
11.294, 6.64, 2.32
11.334, 5.91, 1.29
11.356, 4.78, 0.91
11.390, 2.95, 0.58
11.428, 1.45, 0.60
11.458, 1.34, 0.91
11.498, 1.01, 1.69
11.535, 0.55, 2.73
11.569, 0.59, 3.87
11.603, 1.22, 5.11
11.634, 2.45, 6.25
11.660, 4.14, 7.17
11.691, 6.23, 8.15
11.734, 7.74, 9.27
11.760, 8.85, 9.71
11.799, 9.60, 9.95
11.832, 9.85, 9.74
11.868, 9.77, 9.09
11.902, 9.52, 8.14
11.935, 9.16, 9.90
11.969, 8.68, 9.84
11.998, 8.11, 9.65
12.026, 7.48, 9.25
12.061, 6.79, 8.49
12.100, 6.04, 7.35
12.135, 5.28, 6.16
12.162, 4.30, 5.19
12.193, 2.71, 4.08
12.233, 1.38, 2.75
12.257, 1.37, 2.06
12.300, 1.14, 1.16
12.326, 0.56, 0.80
12.367, 0.46, 0.55
12.401, 0.98, 0.64
12.435, 2.14, 0.99
12.459, 3.88, 1.40
12.500, 6.07, 2.33
12.527, 7.26, 3.09
12.566, 8.34, 4.31
12.602, 9.25, 5.50
12.634, 9.78, 6.55
12.660, 9.94, 7.35
12.700, 9.86, 8.42
12.726, 9.60, 9.03
12.769, 9.23, 9.41
12.802, 8.73, 9.03
12.839, 8.16, 8.07
12.866, 7.52, 7.22
12.900, 6.78, 6.02
12.926, 5.99, 5.05
12.965, 5.13, 3.63
12.999, 3.68, 2.51
13.034, 1.54, 1.54
13.066, 1.40, 0.89
13.099, 1.29, 0.51
13.133, 0.94, 0.44
13.162, 0.52, 0.66
13.195, 0.58, 1.18
13.242, 1.21, 2.39
13.270, 2.43, 3.30
13.301, 4.10, 4.42
13.329, 6.18, 5.46
13.367, 7.73, 6.86
13.398, 8.69, 7.88
13.427, 9.37, 8.70
13.468, 9.76, 9.53
13.500, 9.85, 9.87
