経過時間_秒, Green, SinWave
7.589, 2.47, 9.62
7.628, 1.63, 9.78
7.663, 1.45, 9.77
7.695, 1.18, 9.62
7.729, 0.95, 9.32
7.757, 0.79, 8.97
7.796, 0.43, 8.35
7.833, 0.51, 7.64
7.865, 1.29, 6.94
7.898, 3.02, 6.17
7.930, 5.67, 5.40
7.974, 6.61, 4.33
7.995, 7.54, 3.83
8.028, 8.52, 3.07
8.062, 9.36, 2.36
8.096, 9.65, 1.69
8.126, 9.53, 1.07
8.161, 9.20, 0.61
8.194, 8.83, 0.82
8.229, 8.47, 1.33
8.264, 8.14, 2.04
8.297, 7.77, 2.85
8.335, 7.34, 3.93
8.363, 6.82, 4.77
8.397, 6.19, 5.81
8.431, 5.46, 6.81
8.463, 4.26, 7.68
8.495, 2.13, 8.44
8.531, 1.18, 9.07
8.564, 1.01, 9.48
8.600, 1.00, 9.74
8.629, 0.86, 9.80
8.663, 0.47, 9.68
8.697, 0.54, 9.38
8.731, 1.34, 8.90
8.767, 3.08, 8.22
8.795, 5.56, 7.60
8.833, 6.44, 6.64
8.867, 7.33, 5.72
8.897, 8.33, 4.88
8.931, 9.24, 3.95
8.970, 9.73, 2.94
8.998, 9.78, 2.28
9.034, 9.60, 1.54
9.063, 9.28, 1.04
9.100, 8.88, 8.94
9.126, 8.43, 9.24
9.165, 7.91, 8.52
9.199, 7.33, 7.70
9.231, 6.66, 6.80
9.265, 5.94, 5.77
9.297, 5.11, 4.76
9.334, 3.83, 3.62
9.367, 1.79, 2.68
9.399, 1.33, 1.88
9.429, 1.19, 1.19
9.465, 1.07, 0.64
9.502, 0.98, 0.45
9.533, 0.89, 0.59
9.563, 0.64, 0.99
9.596, 0.38, 1.69
9.631, 0.50, 2.68
9.663, 1.14, 3.76
9.697, 2.42, 4.99
9.732, 4.26, 6.27
9.766, 6.59, 7.43
9.797, 7.68, 8.35
9.834, 8.63, 9.09
9.870, 9.46, 9.57
9.902, 9.81, 9.78
9.933, 9.82, 9.77
9.980, 9.64, 9.38
10.006, 9.37, 8.98
10.035, 9.11, 11.41
10.066, 8.84, 9.30
10.099, 8.56, 8.72
10.133, 8.24, 7.93
10.167, 7.82, 7.00
10.198, 7.33, 6.06
10.230, 6.64, 5.05
10.264, 5.59, 3.98
10.298, 3.85, 2.97
10.339, 1.43, 1.90
10.372, 1.24, 1.18
10.401, 1.15, 0.72
10.435, 1.04, 0.42
10.466, 0.89, 0.39
10.504, 0.76, 0.67
10.536, 0.61, 1.17
10.565, 0.34, 1.80
10.598, 0.46, 2.69
10.634, 1.18, 3.85
10.665, 2.57, 4.86
10.700, 4.67, 6.05
10.733, 6.52, 7.12
10.769, 7.38, 8.15
10.804, 8.42, 8.93
10.835, 9.37, 9.43
10.871, 9.79, 9.77
10.906, 9.77, 9.85
10.934, 9.49, 9.72
10.971, 9.13, 9.54
11.000, 8.80, 9.66
11.039, 8.50, 9.25
11.070, 8.24, 8.74
11.100, 7.96, 8.11
11.138, 7.59, 7.16
11.169, 7.13, 6.30
11.205, 6.53, 5.24
11.233, 5.55, 4.40
11.271, 3.93, 3.31
11.304, 1.28, 2.44
11.346, 0.83, 1.47
11.367, 0.64, 1.05
11.400, 0.62, 0.58
11.437, 0.58, 0.35
11.467, 0.44, 0.40
11.500, 0.26, 0.71
11.531, 0.57, 1.23
11.568, 1.78, 2.09
11.601, 4.22, 3.04
11.640, 5.48, 4.30
11.669, 6.32, 5.28
11.705, 7.19, 6.48
11.746, 8.04, 7.73
11.769, 8.89, 8.34
11.811, 9.55, 9.13
11.846, 9.84, 9.56
11.870, 9.79, 9.74
11.920, 9.57, 9.75
11.937, 9.21, 9.88
11.972, 8.77, 9.48
12.001, 8.31, 9.11
12.034, 7.79, 8.54
12.072, 7.27, 7.72
12.104, 6.75, 6.93
12.134, 6.20, 6.12
12.166, 5.39, 5.22
12.201, 4.08, 4.24
12.241, 1.87, 3.15
12.270, 1.15, 2.43
12.303, 1.06, 1.70
12.339, 0.98, 0.90
12.369, 0.99, 0.46
12.405, 0.88, 0.26
12.441, 0.50, 0.43
12.472, 0.33, 0.87
12.509, 0.73, 1.70
