method,mape_mean,mape_std,mae_mean,mae_std,rmse_mean,rmse_std
SinBP_M,19.62122911053284,8.258484425153163,21.71574503264831,11.87245461869705,22.522848260587946,11.691794878911086
RealTimeBP,23.239405102269252,10.303014516924224,25.120460411064872,12.431157230417485,25.506922214425927,12.389369259265962
SinBP_D,23.68175456194766,9.698996401976414,25.62039471963238,11.965755019556283,26.446098765804425,11.847069905546045
