経過時間_秒, Green, SinWave
7.631, 0.46, 0.69
7.657, 0.29, 0.96
7.687, 0.51, 1.42
7.722, 1.11, 2.15
7.757, 2.09, 3.04
7.793, 3.40, 4.07
7.832, 4.91, 5.27
7.867, 6.35, 6.34
7.893, 7.63, 7.10
7.924, 9.00, 7.93
7.957, 9.81, 8.78
7.998, 9.56, 9.70
8.031, 9.08, 9.87
8.059, 8.36, 8.29
8.091, 7.49, 6.58
8.126, 6.47, 5.16
8.158, 5.31, 3.85
8.198, 4.06, 2.35
8.230, 2.76, 1.39
8.265, 1.87, 0.65
8.298, 1.70, 0.32
8.322, 1.58, 0.32
8.357, 1.40, 0.67
8.391, 1.22, 1.39
8.433, 0.72, 2.70
8.459, 0.37, 3.68
8.499, 0.40, 5.30
8.527, 0.84, 6.42
8.566, 1.61, 7.85
8.599, 2.66, 8.83
8.626, 3.83, 9.41
8.665, 4.95, 9.82
8.698, 5.95, 9.76
8.732, 6.80, 9.29
8.765, 7.65, 8.49
8.797, 8.39, 7.44
8.825, 8.78, 6.38
8.866, 7.94, 4.70
8.900, 6.98, 3.34
8.927, 5.92, 5.33
8.965, 4.79, 7.92
8.998, 3.64, 7.21
9.031, 2.50, 6.34
9.064, 1.67, 5.37
9.093, 1.60, 4.48
9.133, 1.33, 3.27
9.166, 0.79, 2.34
9.193, 0.43, 1.68
9.232, 0.61, 0.90
9.266, 1.36, 0.48
9.299, 2.63, 0.36
9.333, 4.25, 0.53
9.366, 6.04, 0.96
9.398, 7.97, 1.61
9.434, 9.06, 2.57
9.464, 9.62, 3.49
9.502, 9.87, 4.73
9.532, 9.79, 5.71
9.569, 9.53, 6.83
9.600, 9.05, 5.30
9.632, 8.44, 7.48
9.665, 7.68, 8.33
9.699, 6.80, 9.12
9.726, 5.84, 9.56
9.767, 4.79, 9.86
9.799, 3.78, 9.76
9.831, 2.37, 9.37
9.865, 1.42, 8.67
9.904, 1.38, 7.56
9.934, 0.87, 6.55
9.970, 0.55, 5.25
10.004, 0.76, 4.00
10.031, 1.69, 3.06
10.066, 3.25, 1.99
10.099, 5.30, 1.27
10.133, 6.80, 0.75
10.168, 7.80, 0.46
10.198, 8.82, 0.41
10.232, 9.48, 0.59
10.266, 9.83, 1.01
10.299, 9.87, 1.63
10.334, 9.75, 2.46
10.370, 9.51, 3.48
10.407, 9.21, 5.67
10.433, 8.86, 2.40
10.468, 8.44, 1.38
10.501, 7.92, 0.83
10.534, 7.30, 0.57
10.567, 6.57, 0.61
10.599, 5.56, 0.94
10.632, 4.02, 1.55
10.666, 1.82, 2.43
10.700, 1.44, 3.50
10.737, 0.70, 4.79
10.766, 0.41, 5.84
10.797, 0.74, 6.92
10.837, 1.68, 8.16
10.867, 3.14, 9.10
10.901, 4.99, 9.79
10.933, 7.01, 9.79
10.969, 8.34, 9.03
11.003, 9.27, 7.69
11.037, 9.77, 5.96
11.070, 9.87, 4.17
11.103, 9.62, 2.53
11.153, 9.14, 1.15
11.168, 8.46, 11.27
11.203, 7.65, 9.86
11.232, 6.78, 9.61
11.264, 5.84, 9.02
11.300, 4.85, 8.02
11.332, 3.83, 6.91
11.365, 2.82, 5.63
11.400, 1.54, 4.23
11.437, 1.34, 2.84
11.468, 1.25, 1.85
11.503, 1.09, 1.09
11.536, 0.57, 0.62
11.570, 0.38, 0.41
11.604, 0.65, 0.48
11.639, 1.37, 0.83
11.676, 2.44, 1.51
11.706, 3.85, 2.25
11.740, 5.53, 3.25
11.769, 7.27, 4.19
11.802, 8.82, 5.31
11.833, 9.68, 6.35
11.870, 9.82, 7.52
11.906, 9.69, 8.49
11.934, 9.31, 9.18
11.974, 8.73, 9.29
12.002, 7.97, 8.42
12.035, 7.07, 7.32
12.070, 6.05, 5.95
12.104, 4.94, 4.55
12.149, 3.81, 2.79
12.176, 2.59, 1.89
12.205, 1.57, 1.18
12.237, 1.39, 0.64
12.281, 1.33, 0.37
12.307, 1.24, 0.47
12.338, 0.74, 0.84
12.369, 0.38, 1.46
12.403, 0.47, 2.38
12.438, 1.00, 3.54
12.475, 1.93, 4.88
12.505, 3.19, 5.99
12.538, 4.65, 7.15
12.572, 6.15, 8.20
12.604, 7.34, 9.05
12.634, 8.43, 9.60
12.673, 9.48, 9.85
12.706, 9.37, 9.64
12.734, 8.81, 9.16
12.775, 8.05, 7.97
12.808, 7.14, 9.24
12.841, 6.16, 8.73
12.871, 5.12, 8.05
12.904, 3.98, 7.11
12.940, 2.78, 5.92
12.969, 1.82, 4.90
13.004, 1.62, 3.68
13.047, 1.57, 2.31
13.073, 1.47, 1.62
13.106, 1.22, 0.93
13.137, 0.60, 0.53
13.173, 0.28, 0.38
13.205, 0.37, 0.55
13.241, 0.85, 1.07
13.277, 1.60, 1.89
13.307, 2.59, 2.76
13.342, 3.63, 3.92
13.373, 4.66, 5.01
13.409, 5.46, 6.27
13.436, 6.07, 7.15
13.474, 6.56, 8.22
13.508, 7.02, 8.92
13.539, 7.65, 9.33
13.573, 7.55, 9.48
13.608, 6.47, 9.30
13.641, 5.25, 7.62
13.674, 3.87, 6.26
13.705, 2.45, 5.49
13.742, 1.98, 4.45
13.773, 1.76, 3.55
13.816, 1.56, 2.35
13.841, 1.11, 1.73
13.872, 0.57, 1.09
13.905, 0.51, 0.60
13.939, 0.96, 0.32
13.973, 1.85, 0.30
14.010, 2.99, 0.56
14.056, 4.16, 1.27
14.075, 5.15, 1.67
14.105, 5.97, 2.40
14.139, 6.56, 3.32
14.171, 6.81, 4.23
14.203, 7.25, 5.13
14.238, 7.83, 6.02
14.272, 7.72, 6.75
14.305, 6.68, 7.28
14.338, 5.35, 3.36
14.373, 3.74, 6.53
14.416, 2.49, 7.30
14.440, 2.22, 7.60
14.471, 1.88, 7.81
14.506, 0.97, 7.78
14.538, 0.61, 7.52
14.570, 1.09, 7.05
14.605, 2.42, 6.32
14.642, 4.42, 5.38
14.673, 6.26, 4.50
14.704, 7.10, 3.61
14.740, 8.20, 2.62
14.772, 8.98, 1.84
14.809, 9.45, 1.18
14.848, 9.61, 0.73
14.874, 9.79, 0.55
14.905, 9.81, 0.49
14.940, 9.70, 0.61
14.975, 9.42, 0.93
15.010, 9.03, 7.82
15.041, 8.49, 9.35
15.074, 7.84, 8.27
15.106, 7.13, 6.77
15.154, 6.35, 4.19
15.180, 5.24, 2.87
15.212, 3.76, 1.71
15.250, 2.08, 1.03
15.283, 1.32, 0.69
15.307, 2.89, 0.60
15.373, 5.29, 1.09
15.397, 6.20, 1.51
15.411, 7.18, 1.80
15.450, 8.30, 2.81
15.482, 9.13, 3.78
15.514, 9.59, 4.83
15.548, 9.85, 5.96
15.575, 9.83, 6.84
15.615, 9.61, 8.00
15.642, 9.26, 18.00
15.682, 8.74, 8.88
15.707, 8.17, 7.54
15.739, 7.54, 5.42
15.777, 6.84, 3.03
15.805, 6.13, 2.20
15.841, 5.43, 1.67
15.875, 4.47, 1.37
15.915, 3.43, 1.30
15.943, 2.46, 1.44
15.982, 3.03, 1.88
16.008, 5.30, 2.31
16.042, 6.38, 3.02
16.081, 7.40, 4.01
16.110, 8.52, 4.82
16.143, 9.47, 5.77
16.181, 9.86, 6.86
16.216, 9.88, 7.79
16.242, 9.65, 8.42
16.283, 9.28, 9.71
16.316, 8.73, 8.95
16.341, 8.06, 8.10
16.383, 7.28, 6.41
16.414, 6.39, 5.11
16.452, 5.41, 3.70
16.480, 4.33, 3.06
16.514, 3.11, 2.59
16.548, 1.66, 2.44
16.581, 0.80, 2.60
16.610, 0.50, 2.99
16.644, 0.88, 3.70
16.684, 2.02, 4.82
16.715, 3.77, 5.80
16.742, 5.92, 6.68
16.776, 7.28, 7.74
16.822, 8.43, 8.98
16.844, 9.31, 9.49
16.884, 9.74, 9.88
16.907, 9.72, 9.75
16.951, 9.38, 8.83
16.984, 8.80, 9.37
17.010, 8.05, 9.38
17.048, 7.19, 8.35
17.083, 6.26, 6.95
17.126, 5.28, 4.93
17.149, 4.27, 3.84
17.181, 3.23, 2.45
17.215, 2.16, 1.40
17.256, 1.44, 0.68
17.276, 0.94, 0.52
17.314, 0.51, 0.58
17.349, 0.55, 1.03
17.384, 1.12, 1.84
17.417, 2.18, 2.87
17.449, 3.58, 4.03
17.486, 5.10, 5.46
17.518, 6.56, 6.68
17.555, 7.97, 7.98
17.581, 9.22, 8.74
17.615, 9.82, 9.52
17.650, 9.60, 9.75
17.683, 9.10, 9.42
17.719, 8.39, 6.81
17.753, 7.52, 6.34
17.781, 6.56, 4.95
17.818, 5.48, 3.18
17.850, 4.29, 1.88
17.885, 3.01, 1.05
17.917, 1.96, 0.60
17.953, 1.82, 0.50
17.982, 1.64, 0.73
18.018, 1.13, 1.38
18.050, 0.56, 2.25
18.083, 0.46, 3.37
18.120, 0.88, 4.78
18.148, 1.78, 5.88
18.184, 3.02, 7.23
18.217, 4.37, 8.30
18.250, 5.80, 9.28
18.283, 7.15, 9.79
18.318, 8.31, 9.71
18.353, 9.33, 9.01
18.384, 9.84, 7.94
18.425, 9.74, 6.09
18.451, 9.43, 4.81
18.483, 8.98, 8.32
18.519, 8.41, 8.37
18.549, 7.68, 7.27
18.587, 6.83, 5.64
18.618, 5.85, 4.26
18.650, 4.80, 2.92
18.687, 3.42, 1.67
18.726, 1.92, 0.88
18.751, 1.63, 0.59
18.784, 0.80, 0.46
18.819, 0.39, 0.66
18.856, 0.53, 1.24
18.887, 1.25, 1.97
18.921, 2.37, 2.99
18.953, 3.76, 4.08
18.988, 5.11, 5.36
19.021, 6.40, 6.55
19.055, 7.39, 7.68
19.083, 8.15, 8.49
19.120, 8.53, 9.44
19.156, 8.99, 9.87
19.187, 8.44, 9.81
19.220, 7.50, 9.31
19.253, 6.39, 9.60
19.283, 5.20, 8.57
19.321, 3.95, 7.75
19.353, 2.57, 6.81
19.389, 1.95, 5.56
19.420, 1.77, 4.41
19.451, 1.55, 3.29
19.492, 1.40, 1.96
19.520, 0.90, 1.27
19.552, 0.49, 0.72
19.591, 0.52, 0.39
19.626, 1.11, 0.43
19.652, 2.16, 0.68
19.690, 3.51, 1.33
19.721, 5.02, 2.09
19.752, 6.59, 3.01
19.788, 8.08, 4.19
19.822, 9.49, 5.35
19.857, 9.79, 6.49
19.890, 9.81, 7.44
19.919, 9.57, 8.16
19.954, 9.17, 8.77
19.993, 8.59, 8.26
20.023, 7.84, 9.73
20.065, 6.93, 8.97
20.097, 5.88, 8.00
20.126, 4.82, 6.90
20.157, 3.72, 5.59
20.191, 2.17, 4.12
20.222, 1.72, 2.86
20.254, 1.25, 1.78
20.291, 0.63, 1.04
20.333, 0.45, 0.56
20.362, 0.78, 0.48
20.393, 1.51, 0.62
20.419, 2.48, 0.91
20.455, 3.48, 1.57
20.484, 4.33, 2.28
20.519, 4.97, 3.30
20.553, 5.32, 4.41
20.592, 5.43, 5.74
20.626, 5.63, 6.86
20.655, 5.78, 7.74
20.687, 6.01, 8.60
20.722, 5.64, 9.44
20.759, 4.28, 9.84
20.790, 2.72, 8.22
20.823, 2.17, 4.70
20.854, 2.02, 3.66
20.889, 1.84, 2.51
20.922, 1.57, 1.55
20.960, 1.06, 0.94
20.992, 0.53, 0.61
21.023, 0.49, 0.46
21.058, 0.96, 0.48
21.100, 1.93, 0.76
21.137, 3.18, 1.22
21.158, 4.55, 1.57
21.201, 5.89, 2.41
21.233, 6.98, 3.12
21.256, 8.00, 3.65
21.293, 8.64, 4.51
21.320, 9.47, 5.10
21.357, 9.42, 5.81
21.393, 8.89, 6.52
21.423, 8.17, 2.07
21.454, 7.25, 7.69
21.493, 6.24, 8.67
21.525, 5.09, 9.27
21.562, 3.96, 9.51
21.593, 2.97, 9.31
21.624, 2.01, 8.76
21.659, 0.85, 7.78
21.687, 1.83, 6.78
21.726, 3.87, 5.21
21.757, 5.60, 3.93
21.790, 6.49, 2.67
21.834, 7.47, 1.44
21.858, 8.40, 1.04
21.903, 8.94, 0.57
21.923, 9.33, 0.49
21.961, 9.70, 0.59
21.993, 9.87, 0.90
22.022, 9.82, 1.35
22.057, 9.60, 2.09
22.102, 9.21, 12.93
22.140, 8.68, 5.37
22.166, 8.07, 3.81
22.191, 7.37, 2.48
22.230, 6.66, 1.45
22.261, 5.88, 1.00
22.290, 4.94, 0.82
22.335, 4.02, 1.00
22.367, 3.00, 1.47
22.390, 3.12, 1.96
22.422, 5.41, 2.82
22.460, 6.15, 4.05
22.504, 7.03, 5.62
22.528, 8.17, 6.47
22.559, 9.08, 7.51
22.600, 9.67, 8.74
22.625, 9.78, 9.56
22.666, 9.53, 9.88
22.692, 8.93, 9.38
22.725, 8.08, 13.27
22.757, 7.13, 9.74
22.787, 6.12, 9.25
22.826, 5.18, 7.97
22.870, 4.25, 6.05
22.892, 3.34, 5.10
22.933, 2.41, 3.81
22.958, 1.11, 3.46
23.000, 0.55, 3.08
23.033, 0.43, 2.99
23.058, 0.83, 3.05
23.099, 1.75, 3.37
23.135, 3.13, 3.86
23.160, 4.69, 4.31
23.190, 6.25, 4.92
23.225, 7.55, 5.73
23.266, 8.97, 6.72
23.303, 9.45, 7.59
23.334, 9.73, 8.26
23.367, 9.81, 8.93
23.394, 9.64, 9.56
