経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, Stiffness, E, SBP, DBP
0.061, 3.2560, 89.0208, -0.5323, -0.4355, 5.1543, 2.8565, 118.93, 89.21
3.750, 4.2286, 75.0939, -0.6290, -0.5323, 7.5648, 3.6788, 115.62, 85.75
4.534, 4.4011, 74.8130, -0.6168, -0.3952, 7.6601, 3.6513, 114.36, 83.80
6.078, 4.7349, 75.3769, -0.5045, -0.4204, 9.2836, 4.2664, 110.71, 81.54
6.838, 4.8152, 74.5342, -0.4952, -0.4488, 9.1192, 4.1558, 111.84, 82.96
7.581, 4.4463, 81.0811, -0.5211, -0.5211, 8.0390, 3.8124, 113.64, 84.37
8.339, 4.2826, 78.3290, -0.5330, -0.4441, 7.4235, 3.5872, 114.99, 84.99
9.047, 4.3663, 81.7439, -0.4783, -0.4783, 7.7367, 3.7025, 113.30, 83.67
9.778, 3.7511, 78.4314, -0.5593, -0.4661, 6.1048, 3.1521, 117.10, 87.39
11.327, 4.3605, 82.0793, -0.4973, -0.4973, 7.4372, 3.5616, 112.75, 82.30
12.054, 4.1476, 71.7703, -0.5570, -0.4641, 7.5374, 3.7011, 116.23, 86.98
12.783, 4.1484, 84.9858, -0.5447, -0.4539, 7.1824, 3.5264, 114.86, 85.03
13.563, 4.8295, 81.6327, -0.5425, -0.4521, 10.0708, 4.5826, 111.72, 83.29
14.356, 4.4801, 81.7439, -0.5500, -0.4231, 7.7870, 3.6790, 112.87, 82.98
15.199, 4.5586, 78.6370, -0.5410, -0.4578, 7.9370, 3.7174, 111.55, 81.64
16.432, 4.9013, 71.9424, -0.4703, -0.2743, 9.7037, 4.3831, 112.24, 84.13
19.100, 2.8007, 94.9367, -0.5625, -0.3750, 4.4542, 2.6616, 117.36, 88.14
19.774, 4.0881, 100.6711, -0.4514, -0.4514, 7.1626, 3.5425, 113.20, 83.74
20.441, 3.7435, 80.5369, -0.4407, -0.4896, 6.5448, 3.3826, 117.94, 89.07
21.751, 3.1954, 91.4634, -0.3964, -0.5450, 5.0883, 2.8465, 121.90, 92.65
23.082, 3.2987, 89.0208, -0.5849, -0.3900, 5.4354, 2.9927, 118.59, 89.13
24.653, 4.6555, 84.3882, -0.6120, -0.4708, 8.7884, 4.0731, 111.95, 82.34
25.352, 4.6958, 74.9064, -0.5150, -0.4291, 8.8838, 4.0997, 111.84, 82.10
28.360, 2.9428, 85.1064, -0.5665, -0.4721, 4.3471, 2.5341, 117.90, 87.44
28.997, 4.8499, 82.0793, -0.5178, -0.4237, 10.4297, 4.7360, 112.04, 83.75
29.726, 4.5240, 85.3485, -0.5690, -0.4138, 7.9972, 3.7599, 115.18, 86.12
31.166, 4.3493, 82.5309, -0.4533, -0.4533, 7.7164, 3.7000, 113.06, 83.24
31.937, 4.3559, 74.7198, -0.6256, -0.4692, 7.9704, 3.8189, 117.27, 88.81
34.037, 2.9694, 94.9367, -0.4708, -0.4708, 4.6033, 2.6713, 116.32, 86.72
34.743, 4.5886, 74.9064, -0.5483, -0.4486, 8.5667, 3.9992, 115.51, 86.81
35.475, 3.8909, 89.8204, -0.5609, -0.4674, 6.5292, 3.3101, 116.39, 86.68
36.244, 4.3245, 84.9858, -0.6320, -0.4514, 8.0941, 3.8923, 114.47, 85.16
37.011, 4.5804, 80.8625, -0.5571, -0.3857, 8.2438, 3.8519, 111.52, 81.34
37.746, 4.3956, 78.2269, -0.5601, -0.4308, 7.6628, 3.6549, 112.05, 82.41
38.484, 4.2722, 78.6370, -0.5380, -0.4484, 7.5863, 3.6703, 113.30, 83.64
39.219, 4.1787, 81.6327, -0.4925, -0.4478, 7.2067, 3.5255, 114.29, 84.53
41.224, 3.9914, 94.3396, -0.4939, -0.3592, 6.6437, 3.3254, 116.20, 86.84
42.287, 4.2396, 100.0000, -0.4280, -0.2568, 8.1154, 3.9414, 113.06, 84.65
44.037, 1.4305, 105.6338, -0.5000, -0.5000, 1.3415, 1.1216, 120.09, 89.95
44.739, 1.2997, 106.1947, -0.6460, -0.4307, 1.1081, 0.9720, 119.07, 88.12
46.228, 3.9600, 84.3882, -0.5171, -0.4231, 6.8418, 3.4381, 116.22, 86.80
46.835, 3.7608, 78.0234, -0.4097, -0.5007, 6.3842, 3.2920, 116.73, 87.42
47.467, 3.5671, 81.9672, -0.6535, -0.4901, 6.2396, 3.3037, 121.60, 93.13
48.106, 4.6393, 100.1669, -0.5213, -0.4692, 9.1583, 4.2520, 114.60, 85.37
49.508, 1.7528, 104.5296, -0.1549, -0.7230, 2.0202, 1.5259, 120.85, 88.33
51.909, 1.9462, 111.7318, -0.5410, -0.4426, 2.2417, 1.6069, 118.99, 88.75
55.420, 4.6033, 81.9672, -0.5467, -0.4970, 9.9250, 4.6259, 115.46, 87.52
56.060, 3.7360, 84.2697, -0.5208, -0.4735, 6.5213, 3.3739, 118.27, 88.76
58.964, 4.5275, 81.9672, -0.5672, -0.5156, 8.0334, 3.7755, 114.82, 85.04
